"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Navigate from My Info to Admin Page","0","0","Search a user by username","0"
"0","","0","Time Module Navigation and Customer Management","1","0","Edit Customer Description","0"
"0","","0","To verify valid username and valid password","1","0","verify valid username and valid password","0"
"0","","0","Validate Dashboard Page","1","0","Verify Dashboard Page","0"
"0","","2","Navigate from My Info to Admin Page","0","0","Edit an existing user","0"
"0","","0","Time Module Navigation and Customer Management","1","0","Verify Required Field Validation for Customer Creation","0"
"0","","0","Navigate from My Info to Admin Page","1","0","Navigate to Admin Page","0"
"0","","0","Navigate from Dashboard to My Info Page","1","0","Delete attachment with confirmation","0"
"0","","0","Validate Dashboard Page","1","0","Verify all widgets on the Dashboard","0"
"0","","0","Validate Dashboard Page","1","0","Verify search bar functionality on the Dashboard","0"
"0","","0","Navigate from My Info to Admin Page","2","0","Add a new user","0"
"0","","0","Time Module Navigation and Customer Management","1","0","Create New Customer with Valid Details","0"
"0","","0","Validate Dashboard Page","1","0","Verify Dashboard responsiveness across screen sizes","0"
"0","","0","Navigate from Dashboard to My Info Page","1","0","Add an image to attachments and write a comment","0"
"0","","0","Navigate from Dashboard to My Info Page","1","0","Update User Full Name","0"
"0","","0","Validate Dashboard Page","1","0","Verify user profile menu options","0"
"0","","1","Navigate from Dashboard to My Info Page","0","0","Navigate to My Info Page","0"
"0","","0","Navigate from Dashboard to My Info Page","1","0","Update Gender","0"
"0","","0","Time Module Navigation and Customer Management","1","0","Edit Timesheet Information","0"
"0","","0","Validate Dashboard Page","1","0","Verify Pending Leave Requests widget functionality","0"
"0","","0","Time Module Navigation and Customer Management","1","0","Create New Timesheet","0"
